,description,avg price,qtd,elasticity,date,revenue,perfect price,price difference,restaurant,profit
0, entrecote maturado,5.440833333333334,24.0,1.484211593609275,2019-03-01,130.58,13.52,8.079166666666666,ALV,43.957399305555555
1, vazia maturada,4.7606892150606255,15.67,1.989035220360745,2020-03-01,74.6,14.23,9.469310784939374,ALV,45.080445727918146
2,abacaxi,0.0,35.0,0.0,2019-03-01,0.0,0.0,0.0,ALV,0.0
3,agua 0.375l,1.4926315789473685,323.0,0.03025462275263298,2019-03-01,482.12000000000006,1.54,0.047368421052631504,ALV,0.07070360110803313
4,agua 0.75l,2.6128791208791204,455.0,0.03759668560271651,2020-03-01,1188.86,2.71,0.09712087912087952,ALV,0.253765117256371
5,agua das pedras 0.25l,1.3097333333333334,75.0,0.11433080361188912,2020-03-01,98.23,1.46,0.15026666666666655,ALV,0.1968092622222221
6,agua das pedras 75cl,2.579142857142857,35.0,0.48244631393214527,2020-03-01,90.27,3.82,1.2408571428571427,ALV,3.2003478367346934
7,amarguinha,3.2520000000000002,10.0,2.12908095802757,2022-03-01,32.52,10.18,6.927999999999999,ALV,22.529856
9,arroz,0.06346844220797151,651.82,0.000637487679688779,2020-03-01,41.37,0.06,-0.003468442207971517,ALV,-0.00022013662382832936
12,bacon & cheese,8.719620253164557,158.0,0.36131178169313904,2019-03-01,1377.7,11.87,3.1503797468354424,ALV,27.470115045665754
13,batata frita,0.13162967504598408,2038.75,0.00042269924676152534,2020-03-01,268.36,0.13,-0.0016296750459840748,ALV,-0.00021451359673343293
14,bolo de chocolate,3.9113750097233386,385.67,0.06639803663753077,2020-03-01,1508.5,4.17,0.2586249902766613,ALV,1.0115793238580744
15,bolo do caco,1.5009615384615385,52.0,0.18897652511296167,2019-03-01,78.05,1.78,0.27903846153846157,ALV,0.4188259985207101
16,bolo do caco c/ manteiga de alho,2.1395226730310264,419.0,0.033430626003007544,2019-03-01,896.46,2.21,0.07047732696897357,ALV,0.15078783898474
18,cafe,0.8455731023942944,2055.0,0.00269389691079566,2019-03-01,1737.652725420275,0.85,0.004426897605705582,ALV,0.003743265542438343
19,caipirinha,4.621315789473685,38.0,0.7962027779180882,2020-03-01,175.61,8.3,3.678684210526316,ALV,17.0003614265928
20,candy margarita,5.3709375,32.0,1.098858467674335,2022-03-01,171.87,11.27,5.899062499999999,ALV,31.683495996093747
21,carlsberg,2.0324,25.0,0.532244051549229,2020-03-01,50.81,3.11,1.0776,ALV,2.1901142399999998
22,carpaccio de novilho,8.719411764705882,68.0,0.8394984784674074,2020-03-01,592.92,16.04,7.320588235294117,ALV,63.831223183390996
23,cha,1.5928260869565216,46.0,0.22670033766436012,2020-03-01,73.27,1.95,0.35717391304347834,ALV,0.5689159262759925
24,cha frio,2.212463768115942,69.0,0.20992720105449383,2019-03-01,152.66,2.68,0.46753623188405813,ALV,1.0344069733249321
27,classico,8.374600000000001,150.0,0.36552278374534003,2019-03-01,1256.19,11.44,3.0653999999999986,ALV,25.67149883999999
28,coca-cola,0.9048401826484018,219.0,0.027050132871305057,2019-03-01,198.16,0.93,0.025159817351598224,ALV,0.022765613727820565
29,coca-cola 0,0.9563181818181817,220.0,0.02845911370240185,2019-03-01,210.39,0.98,0.02368181818181825,ALV,0.022647353305785184
30,coleslaw,0.07580658424933527,729.62,0.0006802238216202166,2022-03-01,55.31,0.08,0.004193415750664731,ALV,0.0003178885243952554
31,copo branco catarina,2.832888888888889,45.0,0.41215319048388765,2019-03-01,127.47999999999999,4.0,1.1671111111111112,ALV,3.3062960987654324
32,copo branco planalto rs.,2.6638297872340426,47.0,0.3710652217572579,2019-03-01,125.2,3.65,0.9861702127659573,ALV,2.6269895880488905
33,copo tinto m.o.b,3.3536111111111113,36.0,0.6098904569236322,2019-03-01,120.73,5.4,2.046388888888889,ALV,6.8627925154320994
34,copo tinto palha canas,2.79728813559322,59.0,0.3104036579110621,2021-03-01,165.04,3.67,0.8727118644067797,ALV,2.441226544096524
35,copo tinto papa figos,3.1982608695652175,230.0,0.09103904374827533,2019-03-01,735.6,3.49,0.2917391304347827,ALV,0.9330578449905486
36,copo tinto quinta dos carvalhais colheita,3.233139534883721,86.0,0.24613174784630004,2019-03-01,278.05,4.03,0.7968604651162794,ALV,2.576361073553273
37,copo tinto trito anfora,3.01225,40.0,0.49302922169576774,2019-03-01,120.49,4.5,1.4877500000000001,ALV,4.4814749375
38,copo verde muralhas moncao,2.8453846153846154,13.0,1.432977150837351,2019-03-01,36.99,6.92,4.0746153846153845,ALV,11.593847928994082
39,corona,2.4388888888888887,18.0,0.8870766523299081,2019-03-01,43.9,4.6,2.161111111111111,ALV,5.270709876543209
40,costela,26.185394736842103,76.0,2.2557302919922098,2022-03-01,1990.0899999999997,85.25,59.0646052631579,ALV,1546.6300037915512
41,costeletas de borrego,14.23281690140845,71.0,1.3124239663514408,2019-03-01,1010.53,32.91,18.67718309859155,ALV,265.828927276334
42,descafeinado,0.8808846153846154,260.0,0.02218131635957546,2019-03-01,229.03,0.9,0.019115384615384645,ALV,0.016838448224852098
43,double cheese,8.931111111111111,90.0,0.6496876657337405,2019-03-01,803.8,14.73,5.798888888888889,ALV,51.790520987654325
46,entrecote maturado,14.192207357859532,598.0,0.15537831330962523,2020-03-01,8486.94,16.4,2.2077926421404666,ALV,31.333450980414067
48,fanta laranja,1.3199999999999998,21.0,0.41152504899496156,2019-03-01,27.719999999999995,1.86,0.5400000000000003,ALV,0.7128000000000002
49,figado de vitela,5.132666666666666,15.0,2.240234289442976,2019-03-01,76.99,16.63,11.497333333333334,ALV,59.011979555555556
50,fondue de chocolate,5.883615384615385,130.0,0.29630744346065546,2020-03-01,764.87,7.63,1.7463846153846152,ALV,10.275055390532543
51,fraldinha,12.95189214587776,302.67,0.2801595823636951,2020-03-01,3920.149195792822,16.58,3.628107854122238,ALV,46.990861620203226
52,frutos vermelhos,0.0,87.67,0.0,2019-03-01,0.0,0.0,0.0,ALV,0.0
53,ginger ale fever-tree,2.2125,20.0,0.7242607041260759,2020-03-01,44.25,3.81,1.5975000000000001,ALV,3.5344687500000003
54,gorgonzola,8.772736842105262,95.0,0.6045791079275337,2019-03-01,833.4099999999999,14.08,5.307263157894738,ALV,46.55922303601108
55,gratin dauphinois,0.0612332809235607,928.58,0.0004317276293943782,2019-03-01,56.86,0.06,-0.0012332809235607034,ALV,-7.551783725006094e-05
56,imperial super bock,1.411677265500795,1258.0,0.007346769567408615,2020-03-01,1775.89,1.42,0.008322734499204953,ALV,0.011749015079326778
57,jameson,4.877857142857144,14.0,2.2810913633008063,2019-03-01,68.29,16.0,11.122142857142856,ALV,54.25222397959184
58,lagartinhos,0.0,43.0,0.0,2019-03-01,0.0,0.0,0.0,ALV,0.0
59,lagartinhos ibericos,11.991708860759495,158.0,0.49689614550059785,2020-03-01,1894.6900000000003,17.95,5.9582911392405045,ALV,71.45009264941514
60,limao manjericao,0.0,48.0,0.0,2019-03-01,0.0,0.0,0.0,ALV,0.0
61,limonada,1.5283211678832116,274.0,0.036517892372695995,2019-03-01,418.76,1.58,0.051678832116788476,ALV,0.07898185305557058
62,lingua de vitela,4.70945945945946,37.0,0.833318411766393,2020-03-01,174.25,8.63,3.920540540540541,ALV,18.463626734842954
63,lombo,14.105125348189414,371.0,0.2489113379071065,2019-03-01,5233.001504178273,17.62,3.5148746518105867,ALV,49.577747546961945
64,maca verde e gengibre,0.0,52.0,0.0,2019-03-01,0.0,0.0,0.0,ALV,0.0
65,maminha,12.071572327044025,415.0,0.1904396536327005,2019-03-01,5009.70251572327,14.37,2.298427672955974,ALV,27.745635892567527
66,manga,0.0,36.0,0.0,2020-03-01,0.0,0.0,0.0,ALV,0.0
67,mista,1.6258620689655172,29.0,0.36705178472810257,2020-03-01,47.15,2.22,0.594137931034483,ALV,0.9659863258026162
68,mojito,5.1568571428571435,35.0,0.9646254038065017,2019-03-01,180.49,10.13,4.973142857142857,ALV,25.645787265306126
69,moleja de vitela,5.226875,16.0,2.138768456428804,2020-03-01,83.63,16.41,11.183125,ALV,58.452796484375
70,morango e hortela,0.0,58.0,0.0,2020-03-01,0.0,0.0,0.0,ALV,0.0
71,nectares compal,1.9468,25.0,0.5098271597894308,2019-03-01,48.67,2.94,0.9931999999999999,ALV,1.93356176
72,pica-pau,7.0633333333333335,87.0,0.5315352709632764,2020-03-01,614.51,10.82,3.756666666666667,ALV,26.53458888888889
73,picanha,12.000112359550561,356.0,0.2206871028279087,2022-03-01,4272.04,14.65,2.649887640449439,ALV,31.798949425577586
74,pina fumada,3.6944,150.0,0.16124798465225612,2019-03-01,554.16,4.29,0.5956000000000001,ALV,2.2003846400000002
75,pink lady,5.691052631578947,19.0,1.9610137549406723,2022-03-01,108.13,16.85,11.158947368421053,ALV,63.506156786703606
77,portobello,0.10518932579456866,933.84,0.0007374640223541748,2020-03-01,98.23,0.11,0.0048106742054313395,ALV,0.0005060315762866449
78,prego entrecote maturado,8.89469387755102,49.0,1.188438095374795,2020-03-01,435.84000000000003,19.47,10.575306122448978,ALV,94.06411062057475
80,prego lombo,8.875529411764706,85.0,0.6836234955141405,2020-03-01,754.4200000000001,14.94,6.064470588235293,ALV,53.825387072664356
81,prego maminha,8.07,42.0,1.2579572520414168,2019-03-01,338.94,18.22,10.149999999999999,ALV,81.91049999999998
82,prego picanha,7.781428571428571,28.0,1.8194618034704189,2019-03-01,217.88,21.94,14.158571428571431,ALV,110.17391224489798
83,prego vazia maturada,9.194482758620689,29.0,2.0757303898176303,2020-03-01,266.64,28.28,19.085517241379314,ALV,175.48145921521999
84,queijo provolone,5.636724548624296,289.67,0.12739868111915764,2022-03-01,1632.79,6.35,0.7132754513757034,ALV,4.020537246700503
85,salada de atum,10.496046511627906,43.0,1.5980815213878166,2020-03-01,451.33,27.27,16.773953488372094,ALV,176.06019599783667
86,salada de carpaccio,10.475945945945947,37.0,1.8536731683487608,2020-03-01,387.61,29.89,19.414054054054056,ALV,203.38058086194306
87,salada grega de halloumi,8.50923076923077,26.0,2.1426862993461446,2022-03-01,221.24000000000004,26.74,18.230769230769226,ALV,155.1298224852071
88,salada mista,0.056763534932997836,1208.17,0.00030759765795490107,2021-03-01,68.58,0.06,0.0032364650670021616,ALV,0.0001837131978902044
89,salsicha grelhada,5.184823529411765,85.0,0.39935276199999586,2020-03-01,440.71000000000004,7.26,2.075176470588235,ALV,10.759423792387542
92,secretos,0.0,14.0,0.0,2022-03-01,0.0,0.0,0.0,ALV,0.0
93,secretos de porco preto,11.61371212121212,132.0,0.5760215934549997,2019-03-01,1533.01,18.3,6.68628787878788,ALV,77.65262258379248
94,shot,1.48375,16.0,0.6071309716085114,2019-03-01,23.74,2.38,0.89625,ALV,1.3298109374999998
95,somersby,2.439,60.0,0.2661351197534462,2020-03-01,146.34,3.09,0.6509999999999998,ALV,1.5877889999999995
96,sumo de laranja natural,2.6472463768115944,69.0,0.25118107260981165,2020-03-01,182.66000000000003,3.31,0.6627536231884057,ALV,1.7544721277042636
97,sumo naturaldo dia,3.3243809523809524,105.0,0.2072827324706801,2019-03-01,349.06,4.01,0.6856190476190474,ALV,2.2792589024943304
98,super bock,1.740888888888889,45.0,0.25327958065977224,2022-03-01,78.34,2.18,0.43911111111111123,ALV,0.7644436543209879
99,super bock sem alcool,2.0325,12.0,1.108896332306026,2019-03-01,24.39,4.29,2.2575,ALV,4.58836875
100,super bock stout,1.609257142857143,175.0,0.06020451132361616,2019-03-01,281.62,1.71,0.10074285714285702,ALV,0.1621211624489794
109,t. papa figos,14.603263157894736,95.0,1.0063937824347522,2019-03-01,1387.31,29.3,14.696736842105265,ALV,214.62031566759003
114,tabua de charcutaria,10.354000000000001,40.0,1.69468821028732,2019-03-01,414.16,27.9,17.546,ALV,181.671284
115,tartaro delombo,8.626524225747275,92.67,0.6094503377723028,2022-03-01,799.42,13.88,5.253475774252726,ALV,45.31923603596756
116,tarte de maca,4.723672131147541,305.0,0.10139616867694774,2021-03-01,1440.72,5.2,0.4763278688524588,ALV,2.2500166793872607
118,trilogia de atum,7.592096774193548,62.0,0.8016996326547445,2022-03-01,470.71,13.68,6.087903225806452,ALV,46.21995044224766
119,trilogia de iguarias,7.704489795918367,49.0,1.0294125132293792,2022-03-01,377.52,15.64,7.935510204081633,ALV,61.139057392753024
120,trilogia de sorbet,3.3322115384615385,104.0,0.20976878532318022,2019-03-01,346.55,4.03,0.6977884615384617,ALV,2.325178762943788
121,tulipa,2.7170700636942673,157.0,0.11330336910236953,2020-03-01,426.58,3.02,0.3029299363057327,ALV,0.8230818613331176
122,tulipa super bock stout,3.089375,32.0,0.6320657945789536,2019-03-01,98.86,5.04,1.950625,ALV,6.026212109375
123,vazia maturada,12.898007141331217,327.67,0.25770780431404,2019-03-01,4226.29,16.22,3.321992858668782,ALV,42.847087614561254
124,vegetariano,8.448333333333332,60.0,0.9218524819121351,2019-03-01,506.8999999999999,16.24,7.791666666666666,ALV,65.8265972222222
125,virgin mojito,4.065333333333333,15.0,1.7743796203433262,2022-03-01,60.98,11.28,7.214666666666666,ALV,29.330024888888886
127, cheddar,0.4194736842105263,19.0,0.14454156688132025,2022-04-01,7.969999999999999,0.48,0.060526315789473706,ALV,0.025389196675900283
128, entrecote maturado,5.486666666666666,33.0,1.0885196543893358,2019-04-01,181.06,11.46,5.9733333333333345,ALV,32.77368888888889
130,abacaxi,0.0,21.0,0.0,2020-04-01,0.0,0.0,0.0,ALV,0.0
131,agua 0.375l,1.4332564841498558,347.0,0.027041830063104604,2019-04-01,497.34,1.47,0.036743515850144126,ALV,0.05266288234268207
132,agua 0.75l,2.642182628062361,449.0,0.038526373498020836,2020-04-01,1186.34,2.74,0.0978173719376394,ALV,0.25845136085634546
133,agua das pedras 0.25l,1.3240506329113924,79.0,0.10972842379357581,2019-04-01,104.6,1.47,0.14594936708860762,ALV,0.19324435186668806
134,agua das pedras 75cl,2.4507692307692306,26.0,0.617121546710976,2020-04-01,63.72,3.96,1.5092307692307694,ALV,3.6987763313609467
135,arroz,0.0834669433179289,742.21,0.0007362568470838094,2022-04-01,61.95000000000001,0.08,-0.0034669433179288917,ALV,-0.00028937516140404315
138,bacon & cheese,9.099196428571428,112.0,0.5318959170571927,2019-04-01,1019.1099999999999,13.94,4.840803571428571,ALV,44.04742256855867
139,batata frita,0.15127693859888205,2091.33,0.00047357830465105194,2019-04-01,316.37,0.15,-0.0012769385988820603,ALV,-0.00019317136201762392
140,baunilha,0.0,13.0,0.0,2019-04-01,0.0,0.0,0.0,ALV,0.0
141,bolo de chocolate,3.8984736842105265,380.0,0.06716648933793144,2022-04-01,1481.42,4.16,0.2615263157894736,ALV,1.0195534598337948
142,bolo do caco,1.5264583333333333,48.0,0.2082022198341085,2019-04-01,73.27,1.84,0.31354166666666683,ALV,0.47860828993055576
143,bolo do caco c/ manteiga de alho,2.152875816993464,459.0,0.03070774550642762,2019-04-01,988.17,2.22,0.06712418300653633,ALV,0.1445100303302157
144,bushmills,4.877692307692308,13.0,2.456476916317827,2022-04-01,63.410000000000004,16.86,11.982307692307693,ALV,58.4460100591716
145,cafe,0.8664027630180658,1975.0,0.0028720656806704922,2020-04-01,1711.1454569606801,0.87,0.0035972369819341488,ALV,0.003116656060378515
146,caipirinha,4.878085106382979,47.0,0.6795057778936623,2019-04-01,229.27000000000004,8.19,3.31191489361702,ALV,16.155802716161155
147,candy margarita,5.6112,25.0,1.4694586804039727,2019-04-01,140.28,13.86,8.2488,ALV,46.285666559999996
148,carlsberg,2.0324137931034483,29.0,0.4588341928287246,2019-04-01,58.94,2.96,0.9275862068965517,ALV,1.8852390011890605
149,carpaccio de novilho,8.677118644067797,59.0,0.9628644732644708,2019-04-01,511.95,17.03,8.352881355932205,ALV,72.47894254524563
150,cha,1.592941176470588,34.0,0.3067343830115009,2019-04-01,54.16,2.08,0.487058823529412,ALV,0.775856055363322
151,cha frio,2.2123529411764706,51.0,0.28400492725412485,2019-04-01,112.83,2.84,0.6276470588235292,ALV,1.3885768166089962
154,classico,8.285,132.0,0.4109227826525964,2022-04-01,1093.6200000000001,11.69,3.4049999999999994,ALV,28.210424999999994
155,coca-cola,0.8083269961977186,263.0,0.020122084747662583,2020-04-01,212.59,0.82,0.011673003802281312,ALV,0.009435604100102602
156,coca-cola 0,0.7048672566371682,226.0,0.020419285260035034,2022-04-01,159.3,0.72,0.015132743362831769,ALV,0.010666575299553544
157,cocktail da semana,3.769090909090909,11.0,2.2432907535559306,2019-04-01,41.46,12.22,8.450909090909091,ALV,31.852244628099175
158,coleslaw,0.09019256118607907,735.87,0.00080243758200737,2020-04-01,66.37,0.09,-0.00019256118607907657,ALV,-1.736758655750107e-05
159,copo branco catarina,2.792777777777778,54.0,0.33859789910876603,2022-04-01,150.81,3.74,0.9472222222222224,ALV,2.6453811728395067
160,copo branco planalto rs.,2.784893617021276,47.0,0.3879291284010181,2019-04-01,130.89,3.87,1.085106382978724,ALV,3.0219058397464926
161,copo tinto m.o.b,3.5838775510204086,49.0,0.47884915090117425,2020-04-01,175.61,5.3,1.7161224489795912,ALV,6.1503727197001234
162,copo tinto palha canas,2.845438596491228,57.0,0.32682555043191597,2020-04-01,162.19,3.78,0.9345614035087717,ALV,2.6592370883348715
163,copo tinto papa figos,3.252,190.0,0.11205689252776682,2019-04-01,617.88,3.62,0.3680000000000003,ALV,1.196736000000001
