,description,avg price,qtd,elasticity,date,revenue,perfect price,price difference,restaurant,profit
0,batata wedge,1.3274005167958656,1935.0,0.003033193179681932,2017-07-01,2568.52,1.33,0.0025994832041345006,CO,0.0034505553485703086
1,chuleton prato,15.044155844155846,77.0,0.8638854436243654,2017-07-01,1158.4,28.04,12.995844155844154,CO,195.51150480688142
2,costeletas de borrego prato,11.50439588688946,389.0,0.13076552885640566,2017-07-01,4475.21,13.01,1.5056041131105395,CO,17.321065766152746
3,entrecote prato,11.504404332129964,831.0,0.061212789490473346,2016-07-01,9560.16,12.21,0.7055956678700372,CO,8.117457858176191
4,lombo prato,11.504407894736843,608.0,0.08366421680755205,2017-07-01,6994.68,12.47,0.9655921052631573,CO,11.108565438885035
5,maminha prato,9.734501718213057,582.0,0.0739553844768668,2017-07-01,5665.479999999999,10.45,0.7154982817869424,CO,6.965019253433481
6,pica-pau,5.75219557195572,542.0,0.046925986857573064,2017-07-01,3117.69,6.02,0.26780442804427995,CO,1.5404634451464412
7,picanha prato,9.734499999999999,840.0,0.05124050734320536,2018-07-01,8176.979999999999,10.23,0.4955000000000016,CO,4.823444750000015
8,prego entrecote,6.637202643171806,454.0,0.06464103214613655,2016-07-01,3013.29,7.07,0.4327973568281944,CO,2.8725637606978633
9,prego lombo,6.637196819085488,503.0,0.058343942032980683,2018-07-01,3338.51,7.02,0.3828031809145118,CO,2.540740054701604
10,prego maminha,5.486707021791768,413.0,0.05874092437750497,2016-07-01,2266.01,5.81,0.3232929782082312,CO,1.7738138536310755
11,prego picanha,5.4867039106145254,358.0,0.06776532964117522,2018-07-01,1964.24,5.86,0.37329608938547487,CO,2.0481651134483942
12,prego secretos,5.486695652173913,115.0,0.2109560999656768,2018-07-01,630.97,6.64,1.1533043478260865,CO,6.327829950850659
13,prego vazia,6.194709897610921,293.0,0.09348295032356502,2017-07-01,1815.05,6.77,0.5752901023890784,CO,3.563755291267224
14,salada mista,1.3274041297935104,678.0,0.008656703212242534,2017-07-01,899.98,1.34,0.012595870206489668,CO,0.016719810130437423
15,secretos prato,9.73452380952381,210.0,0.2049625306875596,2018-07-01,2044.25,11.73,1.9954761904761913,CO,19.42501048752835
16,vazia prato,10.619502074688798,482.0,0.09741731907304747,2018-07-01,5118.6,11.65,1.0304979253112023,CO,10.943374855804816
17,batata wedge,1.3273972602739728,1606.0,0.0036545544232007444,2017-08-01,2131.8,1.33,0.0026027397260273144,CO,0.0034548695815348877
18,chuleton prato,15.044193548387097,124.0,0.5364463376770473,2017-08-01,1865.48,23.11,8.065806451612902,CO,121.34355338189384
19,costeletas de borrego prato,11.504393063583814,519.0,0.0980111334135354,2016-08-01,5970.78,12.63,1.1256069364161867,CO,12.949424631628206
20,entrecote prato,11.504402010050251,995.0,0.05112343497415578,2018-08-01,11446.88,12.09,0.5855979899497488,CO,6.7369546926592765
21,lombo prato,11.504398340248963,723.0,0.0703565720233836,2016-08-01,8317.68,12.31,0.8056016597510371,CO,9.267962397341641
22,maminha prato,9.734501424501424,702.0,0.0613134365624819,2016-08-01,6833.62,10.33,0.595498575498576,CO,5.7968817314794565
23,pao,1.3274444444444444,90.0,0.06521581147777068,2018-08-01,119.47,1.41,0.0825555555555555,CO,0.10958791358024683
