,description,avg price,qtd,elasticity,date,revenue,perfect price,price difference,restaurant,profit
0,abatanado,0.8797058823529412,68.0,0.05073499540139409,2017-07-01,59.82,0.92,0.040294117647058814,AR,2.7399999999999993
1,adega de borba cortica reserva,17.073076923076922,39.0,1.7168258037909083,2017-07-01,665.8499999999999,46.38,29.30692307692308,AR,1142.9700000000003
2,"agua 0,25l",0.8702500000000001,240.0,0.014220400643252277,2017-07-01,208.86,0.88,0.009749999999999925,AR,2.339999999999982
3,"agua 0,5l",1.7582958801498128,534.0,0.012913077084324974,2018-07-01,938.9300000000001,1.78,0.021704119850187276,AR,11.590000000000005
4,agua 1l,2.6549022004889977,818.0,0.012728413216708166,2016-07-01,2171.71,2.69,0.035097799511002226,AR,28.70999999999982
5,"agua das pedras 0,25l",1.2126086956521738,207.0,0.0229736169109033,2016-07-01,251.00999999999996,1.24,0.027391304347826217,AR,5.670000000000027
6,"agua das pedras 0,75l",2.4389891696750903,277.0,0.034530999153776165,2017-07-01,675.6,2.52,0.08101083032490974,AR,22.439999999999998
7,agua de castello,1.2196153846153845,26.0,0.18396219724558358,2018-07-01,31.709999999999997,1.44,0.2203846153846154,AR,5.73
8,agua tonica fever tree indian,2.4388888888888887,18.0,0.531371860566908,2018-07-01,43.9,3.73,1.2911111111111113,AR,23.240000000000002
9,agua tonica mediterranean,2.439047619047619,21.0,0.4554912375698634,2016-07-01,51.22,3.55,1.110952380952381,AR,23.33
10,alfasud,6.504117647058823,34.0,0.7502197848922961,2018-07-01,221.14,11.38,4.8758823529411774,AR,165.78000000000003
11,alfetta,6.5042857142857144,21.0,1.2146729429845304,2017-07-01,136.59,14.4,7.895714285714286,AR,165.81
12,amarguinha,3.252,35.0,0.364385875784316,2018-07-01,113.82,4.44,1.1880000000000006,AR,41.58000000000002
13,aperol spritz,5.691140350877193,114.0,0.19578232729603537,2019-07-01,648.79,6.81,1.1188596491228067,AR,127.54999999999995
14,batata wedge,1.7649884526558892,433.0,0.015985749900901444,2016-07-01,764.24,1.79,0.025011547344110818,AR,10.829999999999984
15,bolo de alfarroba,3.5207526881720432,186.0,0.0742337871640354,2019-07-01,654.86,3.78,0.2592473118279566,AR,48.21999999999992
16,bolo de chocolate,3.5297004279600572,701.0,0.019746897491129137,2018-07-01,2474.32,3.6,0.07029957203994286,AR,49.279999999999944
17,bolo do caco,1.76986301369863,73.0,0.09508145861459143,2017-07-01,129.2,1.94,0.17013698630136997,AR,12.420000000000009
18,bolo do caco c/ manteiga de alho,1.7581511746680287,979.0,0.0070429169207704275,2017-07-01,1721.23,1.77,0.011848825331971291,AR,11.599999999999895
19,bombay sapphire,4.87801724137931,116.0,0.1649166042665648,2020-07-01,565.85,5.68,0.8019827586206896,AR,93.02999999999999
20,brockmans,8.13,19.0,1.6780928490067186,2018-07-01,154.47000000000003,21.77,13.639999999999999,AR,259.15999999999997
21,bulldog,7.317142857142858,63.0,0.4554912375698634,2019-07-01,460.98,10.65,3.3328571428571427,AR,209.97
22,cafe,0.8800576,3125.0,0.001104434890635426,2016-07-01,2750.18,0.88,-5.759999999999099e-05,AR,-0.17999999999997185
23,cafe com leite,1.5865853658536584,41.0,0.15176045834091414,2017-07-01,65.05,1.83,0.24341463414634168,AR,9.98000000000001
24,cafe duplo,1.7636956521739129,46.0,0.1503643408016696,2018-07-01,81.13,2.03,0.2663043478260869,AR,12.249999999999998
25,caipifruit,5.2844444444444445,18.0,1.1513460450369999,2021-07-01,95.12,11.37,6.085555555555555,AR,109.53999999999999
26,caipifrut,5.691034482758621,29.0,0.7696127629061794,2017-07-01,165.04,10.07,4.3789655172413795,AR,126.99000000000001
27,caipirinha,4.471504065040651,246.0,0.07128490330960038,2019-07-01,1099.99,4.79,0.31849593495934947,AR,78.34999999999997
28,caipiroska,4.471500000000001,80.0,0.21920087840150265,2017-07-01,357.72,5.45,0.9784999999999995,AR,78.27999999999996
29,cappucino,2.20468085106383,47.0,0.18396148815716137,2018-07-01,103.62,2.61,0.40531914893617005,AR,19.049999999999994
30,carioca,0.885,18.0,0.19281899177291223,2018-07-01,15.93,1.06,0.17500000000000004,AR,3.150000000000001
31,carlsberg,2.0325714285714285,35.0,0.22774917592071905,2018-07-01,71.14,2.5,0.4674285714285715,AR,16.360000000000003
32,carpaccio de novilho,7.051732283464568,254.0,0.10887825243428272,2017-07-01,1791.14,7.82,0.7682677165354326,AR,195.13999999999987
33,catarina,12.195,50.0,0.9565129239338296,2019-07-01,609.75,23.86,11.665,AR,583.25
34,cha frio,1.939832402234637,179.0,0.04250012627675133,2016-07-01,347.23,2.02,0.08016759776536309,AR,14.349999999999993
35,chas de saqueta,1.587922077922078,77.0,0.08087559781964768,2018-07-01,122.27,1.72,0.13207792207792202,AR,10.169999999999995
37,cidra somersby maca,2.0325147058823525,278.0,0.028672657213889948,2017-07-01,565.039088235294,2.09,0.057485294117647356,AR,15.980911764705965
38,coca-cola 33cl,1.6846707503828482,653.0,0.010117678995763062,2022-07-01,1100.09,1.7,0.015329249617151763,AR,10.010000000000101
39,coca-cola zero 33cl,1.6779256360078276,511.0,0.012877479030347347,2020-07-01,857.42,1.7,0.02207436399217233,AR,11.280000000000062
40,cocktail s/alcool,3.6585,40.0,0.3586923464751861,2019-07-01,146.34,4.97,1.3114999999999997,AR,52.45999999999999
41,coleslaw,1.7619642857142856,112.0,0.061696158071060776,2021-07-01,197.34,1.87,0.10803571428571446,AR,12.10000000000002
42,copo adega de borba cortica reserva,3.6585064935064935,154.0,0.09316700860302547,2021-07-01,563.41,4.0,0.3414935064935065,AR,52.59
43,copo catarina,2.845521472392638,163.0,0.06846258684100087,2017-07-01,463.82,3.04,0.19447852760736195,AR,31.7
44,copo muralhas de moncão,2.439,140.0,0.06832235170955925,2019-07-01,341.46000000000004,2.61,0.17099999999999982,AR,23.939999999999976
45,copo palha canas,2.8455405405405405,74.0,0.15080373561410207,2017-07-01,210.57,3.27,0.4244594594594595,AR,31.410000000000004
46,copo papa figos,3.2520000000000002,335.0,0.03807016612671959,2019-07-01,1089.42,3.38,0.12799999999999967,AR,42.87999999999989
47,copo planalto reserva,2.8455188679245285,212.0,0.052638638872786005,2018-07-01,603.25,3.0,0.15448113207547154,AR,32.749999999999964
48,copo porto ferreira branco seco,3.252105263157895,19.0,0.6712588667063194,2021-07-01,61.79,5.44,2.1878947368421056,AR,41.57000000000001
49,copo porto ferreira tawny,3.2518518518518515,27.0,0.4723305427261405,2017-07-01,87.8,4.79,1.5381481481481485,AR,41.53000000000001
50,copo rose serras de azeitão,2.438970588235294,136.0,0.07033098451455375,2018-07-01,331.7,2.61,0.17102941176470576,AR,23.259999999999984
51,copo tinto de ânfora,3.0893442622950817,61.0,0.19861658657243753,2021-07-01,188.45,3.7,0.6106557377049184,AR,37.25000000000002
52,corona,2.439013157894737,152.0,0.06292882132374619,2018-07-01,370.73,2.59,0.15098684210526292,AR,22.949999999999964
53,crumble,3.5122038980509744,667.0,0.020650612086186498,2020-07-01,2342.64,3.58,0.06779610194902563,AR,45.2200000000001
54,daiquiri de frutas,5.76983870967742,62.0,0.3649648384993945,2022-07-01,357.73,7.88,2.11016129032258,AR,130.82999999999996
55,descafeinado,0.8815384615384616,312.0,0.011080662148819448,2017-07-01,275.04,0.89,0.00846153846153841,AR,2.6399999999999837
56,extra entrecote,4.825344827586207,58.0,0.3262716977013943,2020-07-01,279.87,6.4,1.5746551724137934,AR,91.33000000000001
57,extra lombo,4.867297297297298,74.0,0.2579498005104587,2019-07-01,360.18,6.12,1.2527027027027025,AR,92.69999999999999
58,extra maminha,3.539705882352941,34.0,0.4082886457076415,2019-07-01,120.35,4.98,1.4402941176470594,AR,48.97000000000002
59,extra p. preto,3.54,18.0,0.7712759670916489,2020-07-01,63.72,6.27,2.7299999999999995,AR,49.13999999999999
60,extra picanha,3.5400000000000005,19.0,0.7306824951394569,2019-07-01,67.26,6.13,2.5899999999999994,AR,49.20999999999999
61,fanta,1.681707317073171,82.0,0.08042954344816322,2017-07-01,137.9,1.82,0.13829268292682917,AR,11.339999999999993
62,fruit mojito,6.097582417582418,91.0,0.26278182767974934,2022-07-01,554.88,7.7,1.6024175824175826,AR,145.82000000000002
63,g'vine floraison,8.13,38.0,0.8390464245033593,2022-07-01,308.94000000000005,14.95,6.8199999999999985,AR,259.15999999999997
64,gin mare,8.13,44.0,0.724631002980174,2016-07-01,357.72,14.02,5.889999999999999,AR,259.15999999999997
65,ginger beer fever tree,2.439111111111111,45.0,0.21256811085493882,2018-07-01,109.75999999999999,2.96,0.520888888888889,AR,23.440000000000005
66,gingerale fever tree,1.6259633027522935,109.0,0.05850099916587498,2019-07-01,177.23,1.72,0.09403669724770647,AR,10.250000000000005
67,gordon's,4.065,62.0,0.25712713008973914,2016-07-01,252.03000000000003,5.11,1.045,AR,64.78999999999999
68,gratin dauphinois,1.7698823529411765,85.0,0.08165908614575168,2019-07-01,150.44,1.91,0.14011764705882346,AR,11.909999999999993
69,hamburguer entrecote,7.057358490566037,159.0,0.17407006699468436,2020-07-01,1122.12,8.29,1.2326415094339618,AR,195.98999999999992
70,hamburguer lombo,7.0796190476190475,210.0,0.13221162294413652,2019-07-01,1486.72,8.02,0.9403809523809521,AR,197.47999999999993
71,hamburguer maminha,5.778235294117647,357.0,0.06347548802953548,2017-07-01,2062.83,6.15,0.3717647058823532,AR,132.7200000000001
72,hamburguer picanha,5.939753086419753,243.0,0.09586082456610172,2021-07-01,1443.36,6.51,0.570246913580247,AR,138.57000000000002
73,hamburguer vazia,6.875968992248062,129.0,0.20903703721672504,2019-07-01,887.0,8.31,1.4340310077519387,AR,184.9900000000001
74,hamburguer vegetariano,6.0291984732824435,262.0,0.09024794701646544,2022-07-01,1579.65,6.57,0.5408015267175568,AR,141.68999999999988
75,hamburguer waigyu,11.480977596741344,491.0,0.09170149572733854,2018-07-01,5637.16,12.53,1.0490224032586557,AR,515.0699999999999
76,hendrick's,7.317088607594936,79.0,0.36323715460961625,2018-07-01,578.05,9.97,2.6529113924050645,AR,209.5800000000001
77,imperial super bock 20cl,1.4582614322691976,2318.0,0.002467180934278261,2016-07-01,3380.25,1.46,0.0017385677308023872,AR,4.029999999999934
78,la giulia super,4.9756,25.0,0.7805208207175339,2022-07-01,124.39,8.86,3.8843999999999994,AR,97.10999999999999
79,limonadas,1.603825857519789,758.0,0.008297878041937982,2021-07-01,1215.7,1.62,0.016174142480211096,AR,12.26000000000001
80,magellan,8.13,19.0,1.6780928490067186,2022-07-01,154.47000000000003,21.77,13.639999999999999,AR,259.15999999999997
81,maminha prato,0.0,50.0,0.0,2019-07-01,0.0,0.0,0.0,AR,0.0
83,margarita,5.691,50.0,0.44637269783578715,2019-07-01,284.55,8.23,2.5390000000000006,AR,126.95000000000003
84,martin miller's,7.317113402061856,97.0,0.2958333242439904,2018-07-01,709.76,9.48,2.1628865979381446,AR,209.80000000000004
85,martin's mojito,6.5040625,32.0,0.7971017629309366,2019-07-01,208.13,11.69,5.1859375,AR,165.95
86,mateus rose,11.382105263157895,19.0,2.3493517157130377,2017-07-01,216.26,38.12,26.7378947368421,AR,508.0199999999999
87,mazagran,1.6260000000000001,20.0,0.31883764131127657,2017-07-01,32.52,2.14,0.514,AR,10.280000000000001
88,mojito,5.284606060606061,330.0,0.06280261402299427,2021-07-01,1743.92,5.62,0.33539393939393936,AR,110.67999999999999
89,moscow mule,5.691020408163266,49.0,0.455483978109073,2020-07-01,278.86,8.28,2.5889795918367335,AR,126.85999999999994
90,muralhas de moncão,11.382162162162162,37.0,1.2064298849128166,2018-07-01,421.14,25.11,13.727837837837837,AR,507.93
91,nectares,1.6918749999999998,48.0,0.13823119987533722,2019-07-01,81.21,1.93,0.23812500000000014,AR,11.430000000000007
92,nordes,7.317142857142857,28.0,1.0248552845321925,2019-07-01,204.88,14.82,7.502857142857144,AR,210.08
93,palha canas,12.1952,25.0,1.9130572218053035,2018-07-01,304.88,35.53,23.3348,AR,583.37
94,panache,1.4635135135135136,37.0,0.15512223552269794,2019-07-01,54.15,1.69,0.2264864864864864,AR,8.379999999999997
95,papa figos,14.634125874125873,143.0,0.4013375460272853,2020-07-01,2092.68,20.51,5.8758741258741285,AR,840.2500000000003
96,pica-pau,6.17657894736842,342.0,0.07082734018658188,2016-07-01,2112.39,6.61,0.43342105263158004,AR,148.23000000000036
97,picanha wagyu p,12.19516129032258,31.0,1.542783185024416,2018-07-01,378.05,31.01,18.81483870967742,AR,583.26
98,pimm's cocktail,5.656,65.0,0.34125190637838587,2020-07-01,367.64,7.59,1.9340000000000002,AR,125.71000000000001
99,piña cool,6.5040000000000004,20.0,1.2753505652451063,2019-07-01,130.08,14.8,8.296,AR,165.92
100,planalto reserva,12.195064935064934,77.0,0.6211155955230682,2022-07-01,939.02,19.77,7.574935064935065,AR,583.27
102,prato chuleton,17.49003937007874,254.0,0.27004498257630777,2019-07-01,4442.47,22.21,4.71996062992126,AR,1198.8700000000001
103,prato costeletas de borrego,13.008826291079814,213.0,0.23951766718500478,2020-07-01,2770.88,16.12,3.1111737089201874,AR,662.68
104,prato entrecote,13.092813822284908,1418.0,0.0362106068803054,2016-07-01,18565.61,13.57,0.4771861777150921,AR,676.6500000000005
105,prato fraldinha,20.15450980392157,51.0,1.5498194456907006,2019-07-01,1027.88,51.39,31.23549019607843,AR,1593.01
106,prato lombo,13.158829787234042,1222.0,0.04223039128662376,2017-07-01,16080.09,13.71,0.5511702127659586,AR,673.5300000000013
108,prato maminha,10.58991643454039,1077.0,0.038561673384022874,2020-07-01,11405.34,11.0,0.41008356545961,AR,441.65999999999997
109,prato picanha,10.610756578947369,608.0,0.06844186169158431,2022-07-01,6451.34,11.34,0.7292434210526313,AR,443.3799999999998
110,prato picanha wagyu,20.354027777777777,72.0,1.1086562470703276,2018-07-01,1465.49,42.92,22.565972222222225,AR,1624.7500000000002
111,prato secretos,10.619506172839506,324.0,0.12854001716089963,2018-07-01,3440.72,11.98,1.3604938271604947,AR,440.8000000000003
112,prato vazia,12.336680851063829,470.0,0.10293889780856776,2017-07-01,5798.24,13.61,1.2733191489361708,AR,598.4600000000003
113,prato vazia wagyu,21.92204379562044,274.0,0.3137686291431269,2018-07-01,6006.64,28.8,6.8779562043795615,AR,1884.56
114,prego entrecote,6.896486486486486,222.0,0.12182991947776803,2019-07-01,1531.02,7.74,0.8435135135135141,AR,187.26000000000013
115,prego lombo,6.902692307692307,208.0,0.13014701805292053,2022-07-01,1435.76,7.8,0.8973076923076926,AR,186.64000000000004
116,prego maminha,4.775925925925926,189.0,0.09910026600152266,2017-07-01,902.6500000000001,5.25,0.47407407407407387,AR,89.59999999999997
117,prego picanha,5.558728813559322,118.0,0.18474492709615828,2019-07-01,655.93,6.59,1.0312711864406783,AR,121.69000000000004
118,prego secretos,4.9834375,64.0,0.30537120581991173,2022-07-01,318.94,6.51,1.5265624999999998,AR,97.69999999999999
119,prego vazia,6.902717391304347,92.0,0.2942465013746465,2022-07-01,635.05,8.93,2.0272826086956526,AR,186.51000000000005
120,queijo provolone,6.138656330749353,387.0,0.06220730650561004,2017-07-01,2375.66,6.52,0.3813436692506462,AR,147.5800000000001
121,salada de carpaccio,8.826453488372094,344.0,0.10062521851941729,2018-07-01,3036.3,9.71,0.8835465116279071,AR,303.94000000000005
122,salada de salmão,7.964608695652173,230.0,0.1358049655323291,2022-07-01,1831.86,9.05,1.0853913043478274,AR,249.6400000000003
123,salada grega,7.0796,250.0,0.11105746447366856,2019-07-01,1769.9,7.87,0.7904,AR,197.6
124,salada mista,1.769922480620155,129.0,0.0538075945178384,2018-07-01,228.32,1.87,0.1000775193798451,AR,12.910000000000018
125,salsicha grelhada,5.298275862068966,232.0,0.08956237959020123,2019-07-01,1229.2,5.77,0.47172413793103374,AR,109.43999999999983
126,sangria branca 1.5l,14.634137931034482,116.0,0.49475272729301,2022-07-01,1697.56,21.87,7.235862068965519,AR,839.3600000000001
127,sangria espumante 1.5l,17.886153846153846,91.0,0.7708229058619289,2016-07-01,1627.6399999999999,31.67,13.783846153846156,AR,1254.3300000000002
128,sangria tinta 1.5l,14.634112903225807,124.0,0.4628324049465771,2018-07-01,1814.63,21.41,6.775887096774193,AR,840.2099999999999
129,serras de azeitão,11.382272727272728,22.0,2.029015424983399,2019-07-01,250.41000000000003,34.48,23.09772727272727,AR,508.1499999999999
130,sprite,1.7043373493975904,83.0,0.08052977970637394,2018-07-01,141.46,1.84,0.13566265060240967,AR,11.260000000000003
131,sumo de laranja natural,2.3415611814345993,237.0,0.03874683254055427,2017-07-01,554.95,2.43,0.08843881856540081,AR,20.959999999999994
132,sumo natural do dia,3.085503597122302,278.0,0.04352715713026335,2019-07-01,857.77,3.22,0.13449640287769826,AR,37.390000000000114
133,super bock garrafa 33cl,1.7794230769230768,156.0,0.04473358065577065,2018-07-01,277.59,1.86,0.08057692307692332,AR,12.57000000000004
134,super bock sem alcool 33cl,2.032608695652174,23.0,0.346581187352548,2017-07-01,46.75,2.74,0.7073913043478264,AR,16.270000000000007
135,super bock stout garrafa 33cl,1.788550724637681,69.0,0.10165557773304323,2017-07-01,123.41,1.97,0.18144927536231892,AR,12.520000000000005
136,tanqueray,4.8779824561403515,114.0,0.16780868137001545,2018-07-01,556.09,5.7,0.8220175438596486,AR,93.70999999999995
137,trilogia de sorbet,3.5208896797153026,281.0,0.04913886711041847,2017-07-01,989.37,3.69,0.1691103202846973,AR,47.51999999999994
138,trinca bolotas,13.821142857142858,35.0,1.5486559791943864,2019-07-01,483.74,35.23,21.408857142857137,AR,749.3099999999998
139,tulipa 40cl,2.438997005988024,668.0,0.014319038170052643,2019-07-01,1629.25,2.47,0.03100299401197626,AR,20.710000000000143
