,description,avg price,qtd,elasticity,date,revenue,perfect price,price difference,restaurant,profit
0,agua 0.35l,1.719607843137255,51.0,0.04702556181438087,2022-09-01,87.7,1.8,0.08039215686274503,SUM,0.13824298346789687
1,agua 0.75l,2.6354237288135596,177.0,0.020765956367310722,2022-09-01,466.47,2.69,0.05457627118644037,SUM,0.14383160011490873
2,agua aromatizada 0.5l,2.4385714285714286,7.0,0.48586117115072797,2022-09-01,17.07,3.62,1.1814285714285715,SUM,2.8809979591836736
3,agua das pedras 0.25l,1.0671875,32.0,0.04651205232275823,2022-09-01,34.15,1.12,0.05281250000000015,SUM,0.056360839843750156
4,agua das pedras 0.75l,2.3983333333333334,60.0,0.05574848180532607,2018-09-01,143.9,2.53,0.13166666666666638,SUM,0.3157805555555549
5,arayiss kafta,5.6575,68.0,0.11603537269847075,2022-09-01,384.71,6.31,0.6524999999999999,SUM,3.691518749999999
6,arayiss queijo,5.496666666666666,27.0,0.2839294154798322,2018-09-01,148.41,7.06,1.5633333333333335,SUM,8.593122222222222
7,arroz com vermicelli,1.7385714285714287,14.0,0.17319655690991093,2021-09-01,24.34,2.04,0.3014285714285714,SUM,0.5240551020408163
8,baba ghanouj,5.259166666666666,84.0,0.087319733116602,2022-09-01,441.77,5.72,0.46083333333333343,SUM,2.423599305555556
9,batata frita,2.182666666666667,15.0,0.20294151986728293,2019-09-01,32.74,2.63,0.4473333333333329,SUM,0.9763795555555548
10,batata harra,4.849259259259259,27.0,0.25048769199362875,2020-09-01,130.93,6.06,1.2107407407407402,SUM,5.871195747599449
11,beirute beer,2.8409677419354837,62.0,0.06390713740443756,2022-09-01,176.14,3.02,0.17903225806451628,SUM,0.5086248699271596
12,branco catarina. setubal,11.179166666666667,12.0,1.2992805479820175,2019-09-01,134.15,25.7,14.520833333333332,SUM,162.3308159722222
14,branco coteaux du liban,15.446666666666667,9.0,2.3936851024867365,2021-09-01,139.02,52.42,36.973333333333336,SUM,571.1147555555556
16,branco planalto. douro,10.67125,8.0,1.8603731334905396,2022-09-01,85.37,30.52,19.84875,SUM,211.8109734375
17,cafe,0.8536220472440944,254.0,0.00468712632377814,2022-09-01,216.82,0.86,0.00637795275590558,SUM,0.005444361088722235
18,cafe turco,1.061875,32.0,0.046280513555704964,2019-09-01,33.98,1.11,0.048125000000000195,SUM,0.0511027343750002
19,cerveja artesanal maldita,3.6055045871559637,7.63,0.6590468158169237,2021-09-01,27.51,5.98,2.3744954128440368,SUM,8.561254103189968
20,coca-cola,1.7108695652173913,69.0,0.03458139921846978,2019-09-01,118.05,1.77,0.05913043478260871,SUM,0.10116446124763707
21,copo,2.4383333333333335,6.0,0.5667826885419878,2020-09-01,14.63,3.82,1.3816666666666664,SUM,3.368963888888888
22,copo branco catarina,2.8234615384615385,26.0,0.15145488296837006,2022-09-01,73.41,3.25,0.42653846153846153,SUM,1.2043149408284024
23,copo branco dom martinho,3.4842857142857144,21.0,0.23140312369393193,2019-09-01,73.17,4.29,0.8057142857142856,SUM,2.8073387755102037
24,copo branco planalto,2.845416666666667,24.0,0.165351972832076,2021-09-01,68.29,3.32,0.4745833333333329,SUM,1.350387326388888
25,copo tinto dom martinho,3.2520000000000002,10.0,0.45355012244010656,2022-09-01,32.52,4.73,1.4780000000000002,SUM,4.806456000000001
